cor_id,cores
1,white
2,gray
3,black
4,red
5,silver
6,brown
7,beige
8,blue
9,purple
10,burgundy
11,gold
12,yellow
13,green
14,charcoal
15,orange
16,off-white
17,turquoise
18,pink
19,lime
20,tan
