vnd_id,vnd_vdr_id,car_id,mmr,sellingprice,state,diaSemana,data,fuso_horario,zona
124,40,124,6475,6700,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
125,41,125,3250,3000,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
126,3,126,17300,18000,tn,Wednesday,08-01-2014 11:00:00,GMT-0800,PST
127,9,127,23700,23800,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
128,37,128,3625,3700,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
129,42,129,2175,3100,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
130,37,130,3800,1200,sc,Wednesday,01-01-2014 11:00:00,GMT-0800,PST
131,43,131,1950,1800,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
132,44,132,10850,15000,nc,Sunday,05-01-2014 09:00:00,GMT-0800,PST
133,36,133,14650,15700,ga,Monday,06-01-2014 09:30:00,GMT-0800,PST
134,36,134,14450,15600,ga,Monday,06-01-2014 09:30:00,GMT-0800,PST
135,36,135,14200,15600,ga,Monday,06-01-2014 09:30:00,GMT-0800,PST
136,9,136,18950,18500,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
137,17,137,13650,11500,sc,Wednesday,01-01-2014 11:00:00,GMT-0800,PST
138,9,138,14200,15200,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
139,5,139,9900,9500,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
140,8,140,15900,17900,tn,Wednesday,08-01-2014 11:00:00,GMT-0800,PST
141,45,141,11600,13300,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
142,9,142,9700,9000,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
143,46,143,9250,9900,ga,Monday,06-01-2014 09:30:00,GMT-0800,PST
144,41,144,31500,32500,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
145,47,145,11550,24700,tn,Tuesday,07-01-2014 10:30:00,GMT-0800,PST
146,37,146,8600,7300,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
147,48,147,11900,6700,pa,Thursday,02-01-2014 08:29:00,GMT-0800,PST
148,49,148,6250,7100,sc,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
149,50,149,6575,5000,nc,Monday,06-01-2014 09:15:00,GMT-0800,PST
150,51,150,7500,6800,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
151,52,151,7275,6300,sc,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
152,53,152,4850,4000,pa,Thursday,02-01-2014 08:29:00,GMT-0800,PST
153,50,153,2725,1500,nc,Monday,06-01-2014 09:15:00,GMT-0800,PST
154,50,154,1800,2500,nc,Monday,06-01-2014 09:15:00,GMT-0800,PST
155,50,155,750,600,nc,Monday,06-01-2014 09:15:00,GMT-0800,PST
156,50,156,1800,1500,nc,Monday,06-01-2014 09:15:00,GMT-0800,PST
157,54,157,13350,11200,pa,Thursday,02-01-2014 08:29:00,GMT-0800,PST
158,8,158,18950,18300,il,Monday,13-01-2014 11:00:00,GMT-0800,PST
159,7,159,14350,14800,sc,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
160,55,160,25000,25025,fl,Monday,13-01-2014 12:00:00,GMT-0800,PST
161,56,161,18100,19500,ca,Wednesday,08-01-2014 12:00:00,GMT-0800,PST
