year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,diaSemana,data,fuso_horario,zona
2013,Infiniti,JX,JX35,SUV,automatic,5n1al0mm7dc324331,sc,39,37290,silver,black,myrddin fleet services,31500,32500,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2012,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac1ch385446,tn,37,33890,white,tan,hyundai motor finance,11550,24700,Tuesday,07-01-2014 10:30:00,GMT-0800,PST
2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap4cn471701,sc,19,84325,blue,black,south carolina state credit union,8600,7300,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2010,Honda,Accord,EX,Sedan,manual,1hgcp2e71aa087012,pa,19,43808,black,black,alans autos,11900,6700,Thursday,02-01-2014 08:29:00,GMT-0800,PST
2007,Cadillac,DTS,Base,Sedan,automatic,1g6kd57y07u127195,sc,34,106426,beige,tan,blackmons automotive llc,6250,7100,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
2007,Pontiac,G6,GT,Convertible,automatic,1g2zh361474271474,nc,19,92501,blue,tan,nextgear capital,6575,5000,Monday,06-01-2014 09:15:00,GMT-0800,PST
2006,Chevrolet,Avalanche,1500 LS,Crew Cab,automatic,3gnec12z96g177687,sc,21,99247,black,gray,pra receivables management llc,7500,6800,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2006,Chrysler,300,C,Sedan,automatic,2c3la63h46h291271,sc,3,94901,silver,gray,bethpage fcu,7275,6300,Wednesday,01-01-2014 09:15:00,GMT-0800,PST
2003,Chevrolet,Express,3500,Van,automatic,1gahg39u831209550,pa,2,92801,blue,gray,enterprise fleet management exchange  inc.,4850,4000,Thursday,02-01-2014 08:29:00,GMT-0800,PST
2002,Dodge,Dakota,Sport,Quad Cab,automatic,1b7hg38n22s563090,nc,19,140271,blue,gray,nextgear capital,2725,1500,Monday,06-01-2014 09:15:00,GMT-0800,PST
2002,Ford,Ranger,XL,SuperCab,automatic,1ftyr44u52pa51307,nc,35,161918,black,gray,nextgear capital,1800,2500,Monday,06-01-2014 09:15:00,GMT-0800,PST
2001,Pontiac,Grand Am,SE1,Coupe,automatic,1g2nf12e51m638746,nc,19,181871,burgundy,gray,nextgear capital,750,600,Monday,06-01-2014 09:15:00,GMT-0800,PST
2001,Toyota,Camry,LE,Sedan,automatic,4t1bf22k81u960254,nc,19,185721,green,tan,nextgear capital,1800,1500,Monday,06-01-2014 09:15:00,GMT-0800,PST
2014,Toyota,Corolla,LE,Sedan,automatic,5yfburhe5ep050360,pa,2,23713,green,gray,enterprise-tra,13350,11200,Thursday,02-01-2014 08:29:00,GMT-0800,PST
2013,Ford,Escape,SEL,SUV,automatic,1fmcu0hxxduc53758,il,46,12924,blue,black,ford motor credit company llc,18950,18300,Monday,13-01-2014 11:00:00,GMT-0800,PST
2013,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac3dh742854,sc,5,7529,white,beige,pee dee auto buyers,14350,14800,Wednesday,01-01-2014 10:00:00,GMT-0800,PST
2011,BMW,3 Series,335i,Sedan,automatic,wbapm5c52be576103,fl,49,37377,white,beige,financial services remarketing (lease),25000,25025,Monday,13-01-2014 12:00:00,GMT-0800,PST
2012,GMC,Acadia,SLT-1,SUV,automatic,1gkkrred5cj311506,ca,5,69223,white,gray,premium auto wholesale,18100,19500,Wednesday,08-01-2014 12:00:00,GMT-0800,PST
